status,city,state,country,classification,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,reason_for_recall_simplified,recall_initiation_date,center_classification_date,report_date,code_info,termination_date
Terminated,Wayzata,MN,United States,2,72461,"Cargill, Inc         Corporate Headquarters",15407 Mcginty Rd W,,55391-2365,Voluntary: Firm Initiated,Telephone,"Product was shipped to the following states: AL, CA, CO, CT, FL, GA, IL, IN, KS, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, PA, SC, TN, TX, UT, VA, WI & WV.",F-0743-2017,"Crisco PROFESSIONAL Liquid Butter Alternative,  SALTED FOR ADDED FLAVOR, NET/NETO 1 GAL (3.79 L) INGREDIENTS; Corn Oil, Soybean Oil, Sunflower Oil, Hydrogenated Soybean Oil, Salt, Soy Lecithin***TBHQ  ***Dimethylpolysiloxane***CONTAINS: SOY.  UPC 7 81525 64775 7","1,544cs/3/1 gallon bottles",Products contain an excessive amount of TBHQ (tert-Butylhydroquinone) and DMPS (dimethyl polysiloxane).,TBHQ,2015-10-19,2016-12-15,2016-12-21,"Item # 100087427, Batch # 3000524439, Code Date S24615, Best By 3/1/2016 ",2017-02-28
Terminated,Wayzata,MN,United States,2,72461,"Cargill, Inc         Corporate Headquarters",15407 Mcginty Rd W,,55391-2365,Voluntary: Firm Initiated,Telephone,"Product was shipped to the following states: AL, CA, CO, CT, FL, GA, IL, IN, KS, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, PA, SC, TN, TX, UT, VA, WI & WV.",F-0741-2017,"MONARCH LIQUID BUTTER ALTERNATIVE, ARTIFICIALLY FLAVORED ,NET/NETO 1 GAL (3.79 L) INGREDIENTS; SOYBEAN OIL, HYDROGENATED SOYBEAN OIL WITH SALT***TBHQ***DIMETHYLPOLYSILOXANE***CONTAINS: SOY.  UPC 7 58108 38874 1","18,359cs/3/1 gallon bottles",Products contain an excessive amount of TBHQ (tert-Butylhydroquinone) and DMPS (dimethyl polysiloxane).,TBHQ,2015-10-19,2016-12-15,2016-12-21,"Item # 100087374: Batch # 3000474230, Code Date S18415, Best By 3/29/2016; Batch # 3000509515, Code Date S22815, Best By 5/12/2016; Batch # 3000515241 Code Date S234515, Best By 5/18/2016; Batch # 3000532385 Code Date S25615 Best By 6/9/2016; Batch # 3000532572, Code Date S25715, Best By 6/10/2016; Batch # 3000542939, Code Date S27115, Best By 6/24/2016 & Batch # 3000548381, Code Date S27815, Best By 7/1/2016. ",2017-02-28
Terminated,Wayzata,MN,United States,2,72461,"Cargill, Inc         Corporate Headquarters",15407 Mcginty Rd W,,55391-2365,Voluntary: Firm Initiated,Telephone,"Product was shipped to the following states: AL, CA, CO, CT, FL, GA, IL, IN, KS, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, PA, SC, TN, TX, UT, VA, WI & WV.",F-0744-2017,"refyne Artificially Flavored BUTTER FLAVORED OIL, NET CONTENTS 1 GAL (3.79 L) INGREDIENTS; SOYBEAN OIL, HYDROGENATED SOYBEAN OIL,***TBHQ--- Dimethylpolysiloxane***CONTAINS: SOY., UPC 0 41560 13659 4",654cs/3/1 gallon bottles,Products contain an excessive amount of TBHQ (tert-Butylhydroquinone) and DMPS (dimethyl polysiloxane).,TBHQ,2015-10-19,2016-12-15,2016-12-21,"Item # 100087373, Batch # 3000519677, Code Date S24015, Best By 5/24/2016 ",2017-02-28
Terminated,Wayzata,MN,United States,2,72461,"Cargill, Inc         Corporate Headquarters",15407 Mcginty Rd W,,55391-2365,Voluntary: Firm Initiated,Telephone,"Product was shipped to the following states: AL, CA, CO, CT, FL, GA, IL, IN, KS, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, PA, SC, TN, TX, UT, VA, WI & WV.",F-0740-2017,"QUALI FRY PREMIUM BUTTERY PAN AND GRILL, ARTIFICIALLY FLAVORED OIL, NET/NETO 1 GAL (3.79 L)  INGREDIENTS: SOYBEAN OIL, HYDROGENATED SOYBEAN OIL***TBHQ***DIMETHYLPOLYSILOXANE***CONTAINS: SOY, UPC 7 58108 45416 3",1.312 cs/6/1 gallon bottles,Products contain an excessive amount of TBHQ (tert-Butylhydroquinone) and DMPS (dimethyl polysiloxane).,TBHQ,2015-10-19,2016-12-15,2016-12-21,"Item # 100087586:  Batch # 3000532083, Code Date S25615, Best By 6/9/2016; Batch # 3000550665, Code Date S28215, Best By 7/5/2016 ",2017-02-28
Terminated,Wayzata,MN,United States,2,72461,"Cargill, Inc         Corporate Headquarters",15407 Mcginty Rd W,,55391-2365,Voluntary: Firm Initiated,Telephone,"Product was shipped to the following states: AL, CA, CO, CT, FL, GA, IL, IN, KS, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, PA, SC, TN, TX, UT, VA, WI & WV.",F-0742-2017,"Beyond PREMIUM LIQUID BUTTER ALTERNATIVE ,ARTIFICIALLY FLAVORED SODIUM FREE, NET/NETO 1 GAL (3.79 L) INGREDIENTS; SOYBEAN OIL, HYDROGENATED SOYBEAN OIL ***TBHQ***DIMETHYLPOLYSILOXANE ***CONTAINS: SOY.  UPC 7 58108 08439 1","1,928cs/6/1 gallon bottles",Products contain an excessive amount of TBHQ (tert-Butylhydroquinone) and DMPS (dimethyl polysiloxane).,TBHQ,2015-10-19,2016-12-15,2016-12-21,"Item # 100087598, Batch # 3000485116, Code Date S19815, Best By 4/12/2016 ",2017-02-28
Terminated,Reno,NV,United States,2,66553,"ProThera, Inc.",10439 Double R Blvd,,89521-8905,Voluntary: Firm Initiated,Letter,"US and Australia, Azerbaijan, Brazil, Canada, Germany, Great Britain, Hong Kong, Ireland (Eire, Japan, Malaysia, Malta, Mexico, New Zealand, Panama,   Philippines, Russia, South Korea, Spain, Switzerland, Thailand.",F-0159-2014,"Klaire Labs Vital-Zymes Chewable;  Comprehensive Enzyme Supplement;  180 Chewable tablets.  UPC 7 09616 0218 5      Manufactured by ProThera, Inc., , Klaire Labs is a division of ProThera  Reno, NV 89521","82,746 lot F3990 and 988.200 of lot C3516.",ProThera was notified by enzymes provided by Specialty Enzymes within the last 3-6 months may be contaminated with chloramphenicol.,Chloramphenicol,2013-10-10,2013-11-12,2013-11-20,Lot F3990 and C3516 ,2014-02-24
Terminated,Fort Collins,CO,United States,2,66559,"Empirical Laboratories, Incorporated","1501 Academy Court, Unit 5",No. 5,80524,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed to ID, MN, and SC.  Foreign distribution to Sweden. No military/govt/VA consignees.",F-0150-2014,"Dynamite Specialty Products Tri-Mins Daily Foundation, calcium, magnesium, potassium dietary supplement; 240 Capsules; Manufactured for Dynamite Marketing, Inc, Meridian, ID 83642.","1,727",Empirical Labs is recalling certain lots of dietary supplements due to potential for adulteration with chloramphenicol.,Chloramphenicol,2013-10-21,2013-11-12,2013-11-20,"Lots: 3061705, 3072312 ",2014-03-24
Terminated,Chino,CA,United States,2,66505,Specialty Enzymes & Biotechnologies,13591 Yorba Ave,,91710-5071,Voluntary: Firm Initiated,Letter,"Nationwide in US and worldwide to:    Australia, Canada, Malaysia, Taiwan, Italy",F-0136-2014,Papain:    NF 4-608 B  NF 4-6152  NUTRA 6-452  PAPAIN  PROHYDROXY NF 4-714,625 kg,Specialty Enzymes and Biotechnologies is recalling cellulase/mannanase and fungal protease because they may contain low levels of chloramphenicol.,Chloramphenicol,2013-10-03,2013-11-12,2013-11-20,Lot Numbers:    3061056  3071003  3071021  3070018  3061057 ,2013-12-23
Terminated,Aliso Viejo,CA,United States,2,66511,"Metagenics, Inc.",25 Enterprise Ste 200,,92656-2709,Voluntary: Firm Initiated,E-Mail,"Nationwide in US and worldwide to Japan, Taiwan, Belgium, and Canada",F-0138-2014,"Spectrazyme, 180 count, 60 count, 12 bottles/case, 20000 tablets/box, 14000 capsules/pail.","1,171,300 units",Metagenics is recalling Spectrazyme because their raw material supplier informed them that enzymes in the blend may contain the antibiotic chloramphenicol.,Chloramphenicol,2013-10-11,2013-11-12,2013-11-20,Lot Code:    0413083  0513007  0513008 ,2014-03-03
Terminated,Paterson,NJ,United States,2,67232,"Triarco Industries, Inc.",6 Morris St,,07501-1706,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","NY, CA",F-1469-2014,"Triarco Industries, LLC an Innophos company Red Lightening Drink Granulation   Notice- For manufacturing Use Only Not for Resale",487.90 kg,Triarco Industries Inc. is recalling product that may have been contaminated with Chloramphenicol.,Chloramphenicol,2013-10-02,2014-02-04,2014-02-12,40779 ,2016-09-19
Terminated,Lake Oswego,OR,United States,2,66879,Kirkman Group Inc.,6400 Rosewood St,,97035-5392,Voluntary: Firm Initiated,E-Mail,distributed worldwide,F-1347-2014,"Chewable EnZym-Complete/DPPIV with Isogest,  Kirkman brand.  Item # 0934-090.",114 bottles (87 bottles in US and 27 bottles outside US),Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,Chloramphenicol,2013-11-15,2014-01-02,2014-01-08,Lot 54112001 ,2014-04-02
Terminated,Chandler,AZ,United States,2,67491,"Global Vitality, Inc. dba Enzyme Process International",470 N 56th St,,85226-2503,Voluntary: Firm Initiated,E-Mail,"PA, AZ, HI,",F-1640-2014,"Total Digestion,  Lot 1635, 4 boxes x 9.92 kg.   Lot 1841, 4 boxes x 12 kg, 1 box x 11.24 kg.  Lot 2017, 3 boxes x 10 kg, 1 box x 9.32 kg.","348,300 units",Global Vitality is recalling dietary supplements because they may be contaminated with chloramphenicol.  The dietary supplements were made with a raw ingredient that was on recalled by Specialty Enzymes & Biotechnologies due to chloramphenicol.,Chloramphenicol,2013-10-22,2014-03-10,2014-03-19,"Lot 1635, 1841, and 2017 ",2014-11-05
Terminated,Lake Oswego,OR,United States,2,66879,Kirkman Group Inc.,6400 Rosewood St,,97035-5392,Voluntary: Firm Initiated,E-Mail,distributed worldwide,F-1348-2014,"Chewable Maximum Spectrum EnZym-Complete/DPPIV with Isogest, Kirkmand brand.  Item # 0893-090",79 bottles (43 bottles in US and 36 bottles outside US),Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,Chloramphenicol,2013-11-15,2014-01-02,2014-01-08,Lot number: 54255000 ,2014-04-02
Terminated,Lake Oswego,OR,United States,2,66879,Kirkman Group Inc.,6400 Rosewood St,,97035-5392,Voluntary: Firm Initiated,E-Mail,distributed worldwide,F-1349-2014,"EnZym-Complete/DPP-IV II with Isogest, Kirkman brand.  Item  numbers:   0851A-090, 0851A-180, 0931-090, 0931-180, 5851A-090, 5931-090.",9486 bottles (5584 bottles in the US and 3902 bottles outside US),Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,Chloramphenicol,2013-11-15,2014-01-02,2014-01-08,"Lot numbers:    52939039,  52939040,  52939042,  52939043,  53852011,  53852012,  53852013,  53852015,  53852016, ",2014-04-02
Terminated,Lake Oswego,OR,United States,2,66879,Kirkman Group Inc.,6400 Rosewood St,,97035-5392,Voluntary: Firm Initiated,E-Mail,distributed worldwide,F-1352-2014,"Phenol Assist, Kirkman brand, Item # 0835-090",1774 bottles (1313 bottles in the US and 461 outside of the US),Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,Chloramphenicol,2013-11-15,2014-01-02,2014-01-08,"LOT numbers:  52640015,  53855003,  53855004. ",2014-04-02
Terminated,Los Angeles,CA,United States,2,66602,Irwin Naturals,5310 Beethoven St,,90066-7015,Voluntary: Firm Initiated,Letter,Nationwide in US,F-0118-2014,"Dual Action Cleanse by Cellular Research Formulas, 60 ct, Item AN027370, UPC 7 10363 27370 5, Item AN056592HFS, UPC 7 10363 56592 3; Item DR056439, UPC 7 10363 57369 0.",1271 units,Irwin Naturals is recalling Daily Digestive Enzymes and Dual Action Cleanse because they may possibly be contaminated with chloramphenicol.,Chloramphenicol,2013-10-24,2013-11-07,2013-11-13,Lot # T3F006 ,2014-07-02
Terminated,Troy,VA,United States,2,66539,Bio-Cat Inc,9117 Three Notch Rd,,22974-2809,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",The products were distributed to manufacturers and distributors nationwide and to Canada.,F-0178-2014,"Xylanase Enzyme Blends, bulk, custom blended formulations identified as xylanase 1000, xylanase 150,000 XU, synerzyme-ae, brizyme, Cellulase Special Blend OMRI, xylanase amylase blend, Bio-Cat Ruminant Enzyme, Feed Blend ws  alkacel 20x, BC-XR, enzyme blend #2237, CHX blend, EB-7 multi-enzyme blend  EB110311-01, EB020812-01, xylanase 70,000, nut 14-500, ultra blend 102  xylanase 10,000, bb cd blend #3, soy blend, amiron blend, Formula #121412b, erc530b, pn digestive blend, digest basic, blend 0313, xylanase 20,000, EC-CHPX, Xylanase 50,000 XU, Xylanase 50m XU, Xylanase 25,000, Xylanase 190,000 XU, af-5x, silage blend, xylanase concentrate, Enzyme Blend 1, and Enzyme Blend 2, packed in boxes or drums ranging from 1 kg to 25 kg, item # XYXP, labeled in part ***Manufactured by BIO-CAT, INC.9117 Three Notch Road Troy, Virginia 22974 Telephone (800) 545-9052 Fax (434) 589-3301 E-mail: info@bio-cat.com Website: www.bio-cat.com***",3276 kg total for all products,Raw material enzymes intended for further manufacturing of foods and dietary spplements may be contaminated with chloramphenicol.,Chloramphenicol,2013-09-26,2013-11-18,2013-11-27,Lots:  xy150-vw08  synae-vw18  synae-vw19  synae-vw20  xy150-tw14  bri-xw16  xy150-tw22  xy150-yw05  csbomri-xw20  xab-vw21  xab-aw07  bcr-yw14  bcr-aw05  fbws-uw04  fbws-aw02  alc20-ww05  xy150-xw30  bcxr-tw04  bcxr-ww12-a (375)/bcxr-ww12-b (125)  bcxr-yw27  bcxr-aw15  eb2237-vw14  chxb-uw27  xy150-zw17  xy150-tw15  xy150-uw21  xy150-xw02  xyc-yw06  xy150-uw26  ali13008-01  ali13008-02  ali13008-13  ali13036-01  ali13053-05  ali13071-01  ali13071-02  ali13140-02  ali13140-03  ali13200-08  ali13200-09  ali13212-04  ali13157-11  ali13206-05  ali13206-06  bbcdb-vw25  bbcdb-xw02  soyb-tw21  soyb-zw02  xy150-tw16  xy150-vw14  xy150-ww08  amib-uw06  amib-uw13  f121412b-vw13  erc530b-xw22  xy150-aw13  xy150-aw20  pndb-xw28  xy150-tw23  db-bw12  b0313-vw22  xy10-uw15  xy20-ww02  xy10-xw20  ecchpx-zw18  xy50-tw09  xy150-tw09  xy50-tw09  xy150-tw16  xy150-vw22  xy150-ww05  xy50-ww09  xy150-ww22  xy150-xw23  xy150-yw24  xy150-zw02  xy50-zw11  xy150-zw19  xy150-aw07  xy50-aw23  xy25-xw22  xy200-vw22  xy150-uw20  af5x-uw04  sb-xw09  xy150-uw08  xy01-vw11  xyc-ww24  xyc-ww18  eb1-yw03  eb2-yw03 ,2014-06-17
Terminated,Valencia,CA,United States,2,66576,Cgnp Manufacturing,24849 Anza Dr,,91355-1259,Voluntary: Firm Initiated,E-Mail,California.,F-0167-2014,"Beach Body Ultimate Reset Kit 2.0( each Kit consist of 1 bottle of the above optimize enzymes capsules product and 5 bottles of additional product)                      Product labeling reads in part:"" BEACHBODY ULTIMATE RESET KIT 2.0*** BEACHBODY, LLC Santa Monica, CA***"".","6,152 kits",CGNP initiated this recall because the raw material Exclezyme received from Specialty Enzymes used by CGNP in the formulation of Beachbody Optimize Enzymes Capsules CG has been found to contain chloramphenicol.,Chloramphenicol,2013-10-07,2013-11-12,2013-11-20,Item# 5109-126 LOT#17952-1 ,2014-03-13
Terminated,Fort Collins,CO,United States,2,66559,"Empirical Laboratories, Incorporated","1501 Academy Court, Unit 5",No. 5,80524,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed to ID, MN, and SC.  Foreign distribution to Sweden. No military/govt/VA consignees.",F-0154-2014,Empirical Labs Building Health Thyroid; 90 Capsules Dietary Supplement,22,Empirical Labs is recalling certain lots of dietary supplements due to potential for adulteration with chloramphenicol.,Chloramphenicol,2013-10-21,2013-11-12,2013-11-20,Lots: 3071708 ,2014-03-24
Terminated,Reno,NV,United States,2,66553,"ProThera, Inc.",10439 Double R Blvd,,89521-8905,Voluntary: Firm Initiated,Letter,"US and Australia, Azerbaijan, Brazil, Canada, Germany, Great Britain, Hong Kong, Ireland (Eire, Japan, Malaysia, Malta, Mexico, New Zealand, Panama,   Philippines, Russia, South Korea, Spain, Switzerland, Thailand.",F-0161-2014,"Klaire Labs Interfase;   Enzyme Supplement;  Packaged in 60 and 120  Vegetarian capsules bottles.  UPC  60 ct.- 7 0961 012270 7;  UPc 120 ct. - 7 09616-01229 1      Manufactured by ProThera, Inc., , Klaire Labs is a division of ProThera  Reno, NV 89521","243,851",ProThera was notified by enzymes provided by Specialty Enzymes within the last 3-6 months may be contaminated with chloramphenicol.,Chloramphenicol,2013-10-10,2013-11-12,2013-11-20,Lot #' 313127 ,2014-02-24
Terminated,Clackamas,OR,United States,2,66843,Health Wright Products Inc,12482 SE Capps Rd,,97015-9093,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed to California, Florida,  Oregon, Utah, and Mexico",F-1461-2014,"Digest Ultra, dietary supplement, packaged 56 capsules per bottle or distributed in bulk, sold under brand YOR.  Product distributed OUTSIDE the US has Spanish label.","82,906 bottles and 1,552,319 capsules (bulk) in US and 62766 bottles OUTSIDE the US",Dietary supplement products are recalled because they were made from ingredient that was contaminated with Chloramphenicol.,Chloramphenicol,2013-10-25,2014-01-30,2014-02-05,LOT Numbers:    1207408;  MFG -03/12;  1217703;  MFG -06/12;  10190112; MFG -01/12;  10190112; MFG -01/12;  10190312; MFG-03/12;  10190313; MFG -03/13;  10191112; MFG -11/12;    20190313; EXP- 2/2015;  20190612; EXP- 06/14;  20191012; EXP -10/14;  1019A0811; EXP- 08/13  ; ,2015-03-02
Terminated,Lake Oswego,OR,United States,2,66879,Kirkman Group Inc.,6400 Rosewood St,,97035-5392,Voluntary: Firm Initiated,E-Mail,distributed worldwide,F-1351-2014,"Maximum Spectrum EnZym-Complete/DPP-IV Fruit Free w/Isogest, Kirkman brand, Item # 0869A-120 and 0932-120.",2273 bottles (1735 bottles in the US and 538 bottles outside the US),Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,Chloramphenicol,2013-11-15,2014-01-02,2014-01-08,"LOT number:    53854008,  53854010,  53854012,  53854014, ",2014-04-02
Terminated,Lake Oswego,OR,United States,2,66879,Kirkman Group Inc.,6400 Rosewood St,,97035-5392,Voluntary: Firm Initiated,E-Mail,distributed worldwide,F-1353-2014,"Biofilm Defense, Kirkman brand, Item # 0881-060 and  5881-060  Biofilm Defense, Pure Compounding brand, Item # 1881-060.",6099 bottles (5489 bottles in US and 610 outside the US),Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,Chloramphenicol,2013-11-15,2014-01-02,2014-01-08,"LOT numbers:    53666006,  53666007,  53666008,  53666009, ",2014-04-02
Terminated,Paterson,NJ,United States,2,67232,"Triarco Industries, Inc.",6 Morris St,,07501-1706,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","NY, CA",F-1470-2014,"Triarco Industries, LLC an Innophos company Green Lightening Drink Granulation   Notice - For Manufacturing Use Only Not for Resale",920 kg,Triarco Industries Inc. is recalling product that may have been contaminated with Chloramphenicol.,Chloramphenicol,2013-10-02,2014-02-04,2014-02-12,40546 ,2016-09-19
Terminated,Douglas,WY,United States,2,68260,"Nutrition Center, Inc. dba Nutri-West",2132 East Richards Street,,82633-0950,Voluntary: Firm Initiated,E-Mail,"NATIONWIDE, ENGLAND, no military/govt/VA consignees.",F-2032-2014,"Total Probiotics, Dietary Supplement, Nutri-West, 50 Capsules, Servicing Size 1 Capsule","13,864 bottles",Nutrition Center voluntarily recalled Total Enzymes and Total Probiotics after notification from supplier that raw materials may potentially contain Chloramphenicol.,Chloramphenicol,2013-10-10,2014-06-13,2014-06-25,"TOTAL PROBIOTICS Product # 2405, 2405A  LOT#S 305002, 305001, 305036, 306015, 306045, 306109, 306110, 307018, 307019, 307065, 307066, 308009, 308010, 308121, 308122, 309063(PARTIAL) ",2014-07-11
Terminated,Hauppauge,NY,United States,2,66501,"Innovative Labs, LLC",85 Commerce Dr,,11788-3902,Voluntary: Firm Initiated,E-Mail,CA,F-1381-2014,"Terrain Zyme Myco-Zyme (Z-13), Enzyme-Based Herbal Dietary Supplement, packaged as 90 capsules per bottle.  Distributed by Apex Energetics, Inc. 16592 Hale Avenue, Irvine CA 92606.",1256 bottles,"Innovative Labs, LLC. has recalled two Dietary Supplements due to the presence of  Chloramphenicol, an antimicrobial agent.",Chloramphenicol,2013-10-14,2014-01-08,2014-01-15,Lot # 130401 ,2018-05-24
Terminated,Burnaby,,Canada,2,66772,Vega / Sequel Naturals,101 3001 Wayburne Dr,,,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Nationwide.  No military/govt/VA.,F-1141-2014,"Vega Sport Performance Protein Dietary Supplement  Vanilla Powder.  Distributed by: Sequel Naturals LTD, Burnaby, BC, Canada. Vegasport.com. Packaged in HDPE jars; in VFF pouch; sizes: 829 g and 1.2oz/33g containers.","32,662 units",Sequel Naturals is recalling nine lots of products due to contamination by trace amount of chloramphenicol.,Chloramphenicol,2013-11-08,2013-12-23,2014-01-01,"Lots:  47047700, 47047701, 47047702, 47047704, 47047705, 47048400, 47048401, 47043001, 47043002, 47050100 ",2014-07-23
Terminated,Clackamas,OR,United States,2,66843,Health Wright Products Inc,12482 SE Capps Rd,,97015-9093,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed to California, Florida,  Oregon, Utah, and Mexico",F-1455-2014,B-Complex Plus. They are sold under brand Enzyme Research Products,1033 bottles,Dietary supplement products are recalled because they were made from ingredient that was contaminated with Chloramphenicol.,Chloramphenicol,2013-10-25,2014-01-30,2014-02-05,"LOT# 1108001, EXP 03/14 (means March 2014) ",2015-03-02
Terminated,Burnaby,,Canada,2,66772,Vega / Sequel Naturals,101 3001 Wayburne Dr,,,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Nationwide.  No military/govt/VA.,F-1145-2014,"Vega ONE Nutritional Shake French Vanilla.  Distributed by: Sequel Naturals LTD, Burnaby, BC, Canada. Vegasport.com. Packaged in HDPE jars; in VFF pouch; sizes:  414 g, 827 g, and 37.6 g containers.","62,809 units",Sequel Naturals is recalling nine lots of products due to contamination by trace amount of chloramphenicol.,Chloramphenicol,2013-11-08,2013-12-23,2014-01-01,"Lots:  47042700, 47042701, 47042702, 47042703, 47042800, 47042801, 47042802, 47046500, 47047000, 47047500, 47047501, 47047502, 47048200, 47048201, 47048700, 47049300, 47049800, 47050600, 47051400, 47051800, 47052100, 47055200, 47055300 ",2014-07-23
Terminated,Londonderry,NH,United States,2,66868,FoodState (Nutrient Manufacturing),4 Delta Dr,,03053-2347,Voluntary: Firm Initiated,Telephone,Nationwide  Foreign:,F-1132-2014,MegaFood High Active Enzymes - 30 count  (Formula 10216),6356 botles,Potential for Chloramphenicol contamination.,Chloramphenicol,2013-11-12,2013-12-23,2014-01-01,Lot Numbers:  10804  10971  11510  11968  12752  12753  12794  12795  13344  14072  15729  15947  16025 ,2014-06-30
Terminated,Chandler,AZ,United States,2,67491,"Global Vitality, Inc. dba Enzyme Process International",470 N 56th St,,85226-2503,Voluntary: Firm Initiated,E-Mail,"PA, AZ, HI,",F-1636-2014,"Fat Sugar (bulk), 3 boxes x 12 kg, 1 box x 8.76 kg.","100,000 units",Global Vitality is recalling dietary supplements because they may be contaminated with chloramphenicol.  The dietary supplements were made with a raw ingredient that was on recalled by Specialty Enzymes & Biotechnologies due to chloramphenicol.,Chloramphenicol,2013-10-22,2014-03-10,2014-03-19,Lot 1845 ,2014-11-05
Terminated,Coram,NY,United States,2,66525,Nature's Value Inc.,468 Mill Rd,,11727-4108,Voluntary: Firm Initiated,Letter,FL & IN,F-0826-2014,"Vitacost Super Daily Enzymes 500 mg caps, product is packaged in a plastic bottle with 240 capsules per bottle, UPC Code: 844197017164.  Manufactured for Vitacost Lexington, NC 27295.","796,800 total capsules for all varieties","Nature's Value Inc. has recalled three Dietary Supplements due to the presence of Chloramphenicol, an antimicrobial agent.",Chloramphenicol,2013-10-17,2013-12-12,2013-12-18,"Lot No: 1) 132176, EXP. DATE 06/15, Item #: VCT 7017164 and 2) Lot No: 132843, EXP. DATE 07/15, Item #: VCT7017164 ",2015-05-06
Terminated,Coram,NY,United States,2,66525,Nature's Value Inc.,468 Mill Rd,,11727-4108,Voluntary: Firm Initiated,Letter,FL & IN,F-0825-2014,"Digestive Enzyme Complex/Enzyme Formula Caps, Quantity:13M, Product #: IB286, product is packaged in bulk form.  Manufactured For: Indiana Botanic.  Manufactured by Nature's Value Inc. 468 Mill Road, Coram, NY 11727, Telephone: 631-846-2500.","796,800 total capsules for all varieties","Nature's Value Inc. has recalled two Dietary Supplements due to the presence of Chloramphenicol, an antimicrobial agent.",Chloramphenicol,2013-10-17,2013-12-12,2013-12-18,Lot No: 132337 ,2015-05-06
Terminated,Troy,VA,United States,2,66539,Bio-Cat Inc,9117 Three Notch Rd,,22974-2809,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",The products were distributed to manufacturers and distributors nationwide and to Canada.,F-0176-2014,"Cellulase Enzyme Blends, bulk, custom blended formulations identified as Cellulase BX and Celluase Conc, packed in boxes or drums ranging from 1 kg to 25 kg, item # CELIND, labeled in part ***Manufactured by BIO-CAT, INC.9117 Three Notch Road Troy, Virginia 22974 Telephone (800) 545-9052 Fax (434) 589-3301 E-mail: info@bio-cat.com Website: www.bio-cat.com***",3276 kg total for all products,Raw material enzymes intended for further manufacturing of foods and dietary spplements may be contaminated with chloramphenicol.,Chloramphenicol,2013-09-26,2013-11-18,2013-11-27,Lots:  fsb-tw07  fsb-uw14  fsb-vw08  pob-tw31  pob-vw27  pob-xw23  pob-aw05  cbx-yw12  cbx-xw06  cbx-xw10  cbx-aw09  ccu-yw06 ,2014-06-17
Terminated,Fort Collins,CO,United States,2,66559,"Empirical Laboratories, Incorporated","1501 Academy Court, Unit 5",No. 5,80524,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed to ID, MN, and SC.  Foreign distribution to Sweden. No military/govt/VA consignees.",F-0147-2014,Vive Shake Up Your Health Chocolate; Made for and distributed by renewal wellness.,519,Empirical Labs is recalling certain lots of dietary supplements due to potential for adulteration with chloramphenicol.,Chloramphenicol,2013-10-21,2013-11-12,2013-11-20,"Lots: 3090510, 3081910 ",2014-03-24
Terminated,Valencia,CA,United States,2,66508,Creation's Garden Natural Products Inc,24849 Anza Dr,,91355-1259,Voluntary: Firm Initiated,Letter,CA,F-0139-2014,"WELLTRIENTS DIGESTAIDS FORMULA #2, 90 capsules per bottle.     Item #61256-90",935 bottles,Creation's Garden Natural Products (CGNP) is recalling Welltrients Digestaids Formula #2 because it has been found to contain chloramphenicol.,Chloramphenicol,2013-10-02,2013-11-12,2013-11-20,Lot#17061 ,2014-03-12
